               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.029896,            0.036082,           0.0039708,             0.47705,             0.35662,             0.37157,             0.21829,            0.040507,            0.044102,            0.011242,            0.005908,            0.005908,            0.005908
                 126,             0.02939,            0.035081,           0.0036113,             0.41427,             0.38818,             0.34402,             0.19321,            0.040507,            0.043821,            0.011707,            0.005875,            0.005875,            0.005875
                 127,            0.029765,            0.035048,            0.003915,             0.52542,             0.35255,             0.34049,              0.1907,            0.040149,            0.045187,            0.014074,            0.005842,            0.005842,            0.005842
                 128,            0.029317,            0.034434,           0.0034633,             0.53156,             0.43378,             0.44704,             0.20022,            0.040153,            0.044127,            0.014622,            0.005809,            0.005809,            0.005809
                 129,            0.029212,            0.034795,           0.0037623,             0.60563,             0.33224,             0.37618,             0.21031,            0.041614,            0.045174,            0.012626,            0.005776,            0.005776,            0.005776
                 130,            0.030013,             0.03428,           0.0040345,             0.41821,             0.41988,              0.3804,             0.20181,            0.041118,            0.045717,            0.013322,            0.005743,            0.005743,            0.005743
                 131,            0.029604,            0.034586,           0.0036541,             0.52636,             0.43456,             0.44621,             0.25949,            0.041631,            0.044993,            0.012398,             0.00571,             0.00571,             0.00571
                 132,             0.02911,            0.035262,           0.0034932,             0.54774,             0.43844,             0.40121,             0.23204,            0.041613,            0.045911,            0.016194,            0.005677,            0.005677,            0.005677
                 133,            0.029048,            0.034035,           0.0036942,             0.37174,             0.41192,             0.36509,             0.20949,            0.041172,            0.045493,            0.014409,            0.005644,            0.005644,            0.005644
                 134,            0.029281,            0.035696,           0.0038041,             0.47665,             0.45107,             0.40237,             0.21023,            0.041102,            0.043141,            0.011466,            0.005611,            0.005611,            0.005611
                 135,            0.029735,            0.033871,           0.0035038,             0.44693,             0.50505,             0.42702,             0.22397,            0.040407,            0.043868,             0.01013,            0.005578,            0.005578,            0.005578
                 136,            0.029011,            0.034461,           0.0035678,             0.46498,             0.47045,             0.39668,             0.21788,             0.04064,            0.043187,            0.011133,            0.005545,            0.005545,            0.005545
                 137,            0.029185,            0.035516,           0.0035825,             0.42746,             0.37677,             0.37718,             0.21323,            0.040944,            0.043797,            0.010729,            0.005512,            0.005512,            0.005512
                 138,            0.028905,            0.034114,           0.0036071,             0.48169,             0.45571,             0.38799,             0.21045,            0.040958,            0.043581,            0.010322,            0.005479,            0.005479,            0.005479
                 139,            0.028795,            0.034922,           0.0036177,             0.42571,             0.48596,             0.37977,             0.20823,            0.040873,            0.044747,            0.011062,            0.005446,            0.005446,            0.005446
                 140,            0.029149,            0.034853,           0.0036357,             0.60947,             0.35723,             0.36352,             0.20488,            0.041139,             0.04614,            0.010585,            0.005413,            0.005413,            0.005413
                 141,            0.028831,            0.033214,           0.0037105,             0.43057,             0.35102,             0.33276,             0.18772,            0.040624,            0.045046,            0.011771,             0.00538,             0.00538,             0.00538
                 142,              0.0285,            0.035784,           0.0037516,             0.47314,             0.46092,             0.38075,             0.21858,            0.040689,            0.045496,            0.010983,            0.005347,            0.005347,            0.005347
                 143,            0.028742,             0.03497,           0.0034754,             0.45977,             0.35511,             0.35353,             0.20078,            0.040849,            0.044564,            0.011053,            0.005314,            0.005314,            0.005314
                 144,            0.028734,            0.033471,           0.0035398,             0.38583,             0.47984,             0.44257,             0.25699,            0.040645,            0.044467,            0.010574,            0.005281,            0.005281,            0.005281
                 145,            0.028508,             0.03381,           0.0033444,             0.39906,             0.48449,             0.43886,             0.27581,            0.040452,            0.045439,            0.010952,            0.005248,            0.005248,            0.005248
                 146,            0.028273,            0.033896,            0.003576,             0.45827,              0.3399,             0.34533,             0.19687,            0.041318,            0.045719,            0.012319,            0.005215,            0.005215,            0.005215
                 147,            0.027517,            0.032626,           0.0034838,             0.44377,             0.33052,             0.34556,             0.19965,            0.040502,            0.044654,            0.011836,            0.005182,            0.005182,            0.005182
                 148,            0.028094,            0.033084,           0.0034049,             0.33878,             0.39703,             0.36925,              0.2073,            0.040636,            0.044865,            0.012217,            0.005149,            0.005149,            0.005149
                 149,            0.028159,            0.033129,           0.0034548,             0.39672,             0.46259,             0.37861,             0.21567,            0.040527,            0.044987,            0.011959,            0.005116,            0.005116,            0.005116
                 150,            0.028408,             0.03438,           0.0034469,              0.4459,             0.38549,             0.43636,              0.2028,            0.041168,            0.044766,            0.013936,            0.005083,            0.005083,            0.005083
                 151,            0.027868,            0.032939,           0.0032277,             0.36948,             0.46852,             0.43395,             0.22878,             0.04085,            0.044696,            0.013344,             0.00505,             0.00505,             0.00505
                 152,            0.028288,            0.034127,           0.0034483,             0.45327,             0.46732,             0.39186,             0.21238,            0.039918,            0.045744,            0.015764,            0.005017,            0.005017,            0.005017
                 153,            0.027913,            0.032234,           0.0032302,             0.54211,             0.35378,             0.34263,             0.18857,            0.040385,             0.04598,            0.016662,            0.004984,            0.004984,            0.004984
                 154,            0.028598,             0.03212,            0.003331,             0.36538,             0.36788,             0.33597,             0.19739,            0.040266,             0.04519,            0.014168,            0.004951,            0.004951,            0.004951
                 155,              0.0273,            0.031266,           0.0032075,             0.56062,             0.32319,             0.34478,             0.19986,            0.039802,            0.045251,            0.013518,            0.004918,            0.004918,            0.004918
                 156,            0.027688,            0.032819,           0.0032405,             0.44838,             0.47281,             0.43113,             0.24752,            0.040359,            0.045707,            0.012465,            0.004885,            0.004885,            0.004885
                 157,            0.027391,            0.034283,           0.0033797,             0.51611,             0.38404,             0.39741,             0.20674,            0.040632,            0.045881,            0.010581,            0.004852,            0.004852,            0.004852
                 158,            0.026959,            0.031582,           0.0029766,              0.6262,             0.31853,             0.35336,             0.20516,             0.04054,            0.046104,            0.011915,            0.004819,            0.004819,            0.004819
                 159,            0.027413,            0.033442,            0.003199,             0.47917,             0.35828,             0.39395,             0.20497,              0.0408,            0.045278,            0.014591,            0.004786,            0.004786,            0.004786
